stimName	xlabel	xvalues	baselineidx	badrecording
sineTuneFineFemale	sine carrier [Hz]			
sineTuneFineMale	sine carrier [Hz]			
pulseTrainDurationFemale	number of pulses			
pulseTrainDurationMale	number of pulses			
ipiTuneFemaleGrouphoused	ipi [ms]			
ipiTuneFemaleSinglehoused	ipi [ms]			
ipiTuneMaleGrouphoused	ipi [ms]			
ipiTuneMaleSinglehoused	ipi [ms]			
sineDurationFemale	sine duration [ms]			
sineDurationMale	sine duration [ms]			
intensitydsxGCAMPmale	intensity [mm/s]			
intensitydsxGCAMPfemale	intensity [mm/s]			
ipiTuneDsxGcampFemale	ipi [ms]			
ipiTuneDsxGcampMale	ipi [ms]			
pulseSine2				
pulseCarrier	pulse carrier [Hz]			
pulseCarrierMale	pulse carrier [Hz]			
sineTuneMale	sine carrier [Hz]			
sineTuneFemale	sine carrier [Hz]			
ipiTune71_female	ipi [ms]			
ipiTune71_male	ipi [ms]			
intensitydsxGCAMPmale	intensity [mm/s]			
intensitydsxGCAMPfemale	intensity [mm/s]			
intensityNM91male	intensity [mm/s]			
intensityNM91female	intensity [mm/s]			
ipiTuneDsxGcampFemale	ipi [ms]			
ipiTuneDsxGcampMale	ipi [ms]			
ipiTuneDsxGFPFemale	ipi [ms]			
ipiTuneDsxGFPMale	ipi [ms]			
ipiTuneCARM03male	ipi [ms]			
ipiTuneCARM03female	ipi [ms]			
ipiTuneTZ58male	ipi [ms]			
ipiTuneTZ58female	ipi [ms]			
ipiTuneCM07male	ipi [ms]			
ipiTuneCM07female	ipi [ms]			
ipiTuneZW109male	ipi [ms]			
ipiTuneZW109female	ipi [ms]			
ipiTuneZH23male	ipi [ms]			
ipiTuneZH23female	ipi [ms]			
ipiTuneN30male	ipi [ms]			
ipiTuneN30female	ipi [ms]			
intensityPosCtrlMale	intensity [mm/s]			
intensityPosCtrlFemale	intensity [mm/s]			
durTuneFemale				
PPF2a				
PPF2b				
PPF1				
PPF2				
PPF3				
PPF4				
PPF5				
PPF6				
PPF7				
PPF8				
PPF10				
PPF9				
PPF20				
PPF21				
PPF22				
PPF23				
PP24				
PPF25				
ipiTuneCTRL_male	ipi [ms]			
ipiTuneCTRL_female	ipi [ms]			
ipiTune41_female	ipi [ms]			
ipiTune71_female	ipi [ms]			
ipiTune41_male	ipi [ms]			
ipiTune7figure1_male	ipi [ms]			
sineTune41_female	sine carrier [Hz]			
sineTune71_female	sine carrier [Hz]			
sineTune41_male	sine carrier [Hz]			
sineTune71_male	sine carrier [Hz]			
sineTuneCTRL_female	sine carrier [Hz]			
sineTuneCTRL_male	sine carrier [Hz]			
ipiTuneCSTullyFemaleSingleHoused	ipi [ms]			
ipiTuneCSTullyMaleSingleHoused	ipi [ms]			
ipiTuneDense	ipi [ms]			
context_36_40_16_60				
context_36_60_16_40				
ipiTuneCSTullyFemale	ipi [ms]			
ipiTuneCSTullyMale	ipi [ms]			
sineTuneCSTullyFemale	sine carrier [Hz]			
sineTuneCSTullyMale	sine carrier [Hz]			
pulseCarrier	pulse carrier [Hz]			
sine400paired_test				
pulseSeq				
context_switch_36to16				
context_switch_16to36				
PDUR_numberOfPulses				
PDUR_numberOfPulses2				
PDUR_numberOfPulsesmale				
PDUR_numberOfPulses2male				
PPF1male				
PPF2male				
PPF3male				
PPF4male				
PPF5male				
PPF6male				
PPF10male				
PDUR_singlePulse				
PDUR_numberOfPulses				
ipiTuneTest				
pulseCarrierMale				
simulansNaturalPulseIPIfemale				
simulansNaturalPulseIPImale				
durTuneFemale				
simulansTune1female				
simulansTune1male				
simulansDurTuneFemale				
context_36_80_16_20				
context_36_20_16_80				
context_36_40_16_60				
context_36_60_16_40				
ipiTune_switchGoodShortIPI	ipi [ms]			
ipiTune_contextBadShortIPI	ipi [ms]			
pulseSine				
ipiTune_contextSwitch	ipi [ms]			
ipiTune_contextBadSine150	ipi [ms]			
ipiTune_contextBadLongIPI	ipi [ms]			
ipiTune_contextGood	ipi [ms]			
ipiTune_contextBad	ipi [ms]			
durTuneMale				
simulansIPI				
sineTuneFemale	sine carrier [Hz]			
sineTuneMale	sine carrier [Hz]			
ipiTuneMale	ipi [ms]			
ipiTuneMaleShort	ipi [ms]			
pulseTypes				
durTrain				
IPIjitter				
IPItuneSP				
SIN_250_intensity	intensity [mm/s]			
SIN_intensity	intensity [mm/s]			
YakSan_IPI	ipi [ms]			
intensity3	intensity [mm/s]			
PPAUTune2				
PPAUTune				
intensity2	intensity [mm/s]			
ipiTuneCVA	ipi [ms]			
ipiTune2	ipi [ms]			
PDURonlyTune				
PDURTune				
nipiTune	ipi [ms]			
IPIcmp	ipi [ms]			
IPInp	ipi [ms]			
SINEfreqSoft	sine carrier [Hz]			
SINEfreq	sine carrier [Hz]			
ipiTuneMated	ipi [ms]			
DURfull				
IBI	inter bout interval [ms]			
ipiDur2				
ipiTune	ipi [ms]			
carrierLong				
ipiTuneGRP	ipi [ms]			
silenceControlDelayFemale	intensity [mm/s]			
silenceControlDelayMale	intensity [mm/s]			
silenceControlFemale	intensity [mm/s]			
silenceControlMale	intensity [mm/s]			
intensitySinglePulseFemale	intensity [mm/s]			
intensitySinglePulseMale	intensity [mm/s]			
durationSinglePulseFemale	pdur [ms]			
durationSinglePulseMale	pdur [ms]			
ipi16onlyMale	ipi [ms]			
ipi16onlyFemale	ipi [ms]			
ipi36onlyMale	ipi [ms]			
ipi36onlyFemale	ipi [ms]			
ipi96onlyMale	ipi [ms]			
ipi96onlyFemale	ipi [ms]			
sineTuneFemaleGrouphoused	frequency [Hz]			
sineTuneFemaleSinglehoused	frequency [Hz]			
sineTuneMaleGrouphoused	frequency [Hz]			
sineTuneMaleSinglehoused	frequency [Hz]			
pulseTrainDurationFemale	number of pulses			
pulseTrainDurationMale	number of pulses			
IPIcarrier200female	frequency [Hz]			
IPIcarrier250female	frequency [Hz]			
IPIcarrier312female	frequency [Hz]			
IPIcarrier200male	frequency [Hz]			
IPIcarrier250male	frequency [Hz]			
IPIcarrier312male	frequency [Hz]			
ipiTune_R71G01-Dsx-csChrimson_atr_male	ipi [ms]			
ipiTune_R71G01-Dsx-csChrimson_noatr_male	ipi [ms]			
ipiTune_R71G01-Dsx-csChrimson_atr_female	ipi [ms]			
ipiTune_R71G01-Dsx-csChrimson_noatr_female	ipi [ms]			
ipiTune_DSX-gtACR1_atr_male	ipi [ms]			
ipiTune_DSX-gtACR1_noatr_male	ipi [ms]			
ipiTune_DSX-gtACR1_atr_female	ipi [ms]			
ipiTune_DSX-gtACR1_noatr_female	ipi [ms]			
ipiTune_R42B01-gtACR1_atr_male	ipi [ms]			
ipiTune_R42B01-gtACR1_noatr_male	ipi [ms]			
ipiTune_R42B01-gtACR1_atr_female	ipi [ms]			
ipiTune_R42B01-gtACR1_noatr_female	ipi [ms]			
ipiTune_R72E10-VT9665-gtACR1_atr_male	ipi [ms]			
ipiTune_R72E10-VT9665-gtACR1_noatr_male	ipi [ms]			
ipiTune_SimNS05_female	ipi [ms]			
ipiTune_Sim196_female	ipi [ms]			
ipiTune_Sim194_female	ipi [ms]			
ipiTune_SimNS05_male	ipi [ms]			
ipiTune_Sim196_male	ipi [ms]			
ipiTune_Sim194_male	ipi [ms]			
intensitySine100_female	intensity [mm/s]			
intensitySine100_male	intensity [mm/s]			
intensitySine_female	intensity [mm/s]			
intensitySine_male	intensity [mm/s]			
intensityPulse_female	intensity [mm/s]			
intensityPulse_male	intensity [mm/s]			
pulseCarrier2_female	pulse carrier [Hz]			
pulseCarrier2_male	pulse carrier [Hz]			
sineTuneCoarse_female	sine carrier [Hz]			
sineTuneCoarse_male	sine carrier [Hz]			
